"(Incl. Tax %s)","(Incl. Tax %s)"
"(percent price type only)","(percent price type only)"
"Above Coupon","Above Coupon"
"Above Crosssell","Above Crosssell"
"Above Estimate Shipping","Above Estimate Shipping"
Active,Active
"Add Fee","Add Fee"
"Add Fees to My Order","Add Fees to My Order"
"Add Image","Add Image"
"Add Option","Add Option"
"Additional Fees","Additional Fees"
"Additional Fees (Excl. Tax)","Additional Fees (Excl. Tax)"
"Additional Fees (Incl. Tax)","Additional Fees (Incl. Tax)"
"Additional Fees (Incl. Tax)'); else $label = Mage::helper('mageworx_multifees","Additional Fees (Incl. Tax)'); else $label = Mage::helper('mageworx_multifees"
"Additional Fees (Incl. Tax)'); else echo Mage::helper('mageworx_multifees","Additional Fees (Incl. Tax)'); else echo Mage::helper('mageworx_multifees"
"Apply Fee To","Apply Fee To"
"Apply the rule only to cart items matching the following conditions (leave blank for all items)","Apply the rule only to cart items matching the following conditions (leave blank for all items)"
"Apply the rule to selected payment methods (leave blank for all items)","Apply the rule to selected payment methods (leave blank for all items)"
"Apply the rule to selected shipping methods (leave blank for all items)","Apply the rule to selected shipping methods (leave blank for all items)"
"Apply to","Apply to"
"Are you sure you want to do this?","Are you sure you want to do this?"
"Below Coupon","Below Coupon"
"Below Crosssell","Below Crosssell"
"Below Estimate Shipping","Below Estimate Shipping"
"Billing Country","Billing Country"
"Billing Postcode","Billing Postcode"
"Billing Region","Billing Region"
"Billing State/Province","Billing State/Province"
"Calculation Settings","Calculation Settings"
"Cannot add a record Fee. Please, try again.","Cannot add a record Fee. Please, try again."
"Cart Attribute","Cart Attribute"
"Cart Fee","Cart Fee"
"Cart Fees","Cart Fees"
"Change Image","Change Image"
Checkbox,Checkbox
Conditions,Conditions
"Conditions combination","Conditions combination"
"Custom Position","Custom Position"
"Customer Groups","Customer Groups"
"Customer Message Title","Customer Message Title"
"Date Field Title","Date Field Title"
"Delete Fee","Delete Fee"
"Delete Image","Delete Image"
Description,Description
"Display Additional Fees Amount in Cart Total","Display Additional Fees Amount in Cart Total"
"Display Additional Fees Amount in Orders, Invoices, Credit Memos","Display Additional Fees Amount in Orders, Invoices, Credit Memos"
"Display Prices in Additional Fees Block","Display Prices in Additional Fees Block"
Drop-Down,Drop-Down
"Edit Fee '%s'","Edit Fee '%s'"
"Enable Cart Fees","Enable Cart Fees"
"Enable Customer Message","Enable Customer Message"
"Enable Date Field","Enable Date Field"
"Enable Payment Fees","Enable Payment Fees"
"Enable Shipping Fees","Enable Shipping Fees"
"Fee  Information","Fee  Information"
"Fee Information","Fee Information"
"Fee Name","Fee Name"
"Fee Type","Fee Type"
"Fee does not exist","Fee does not exist"
"Fee was successfully saved","Fee was successfully saved"
"Main Settings","Main Settings"
General, General
Hidden,Hidden
Hide,Hide
"Incl. Tax %s","Incl. Tax %s"
"Include Fee in Shipping Price","Include Fee in Shipping Price"
Labels,Labels
"Manage Fee","Manage Fee"
"Manage Fees","Manage Fees"
"Multi Fees","Multi Fees"
"Multi Fees (Incl. Tax)","Multi Fees (Incl. Tax)"
"NOT LOGGED IN","NOT LOGGED IN"
"New Fee","New Fee"
"No Fees","No Fees"
Notice,Notice
One-time,One-time
"Options Settings","Options Settings"
Ordered,Ordered
"Payment Fee","Payment Fee"
"Payment Fees","Payment Fees"
"Payment Methods","Payment Methods"
Percent,Percent
"Please choose a condition to add...","Please choose a condition to add..."
"Please select Fee(s)","Please select Fee(s)"
"Position of Additional Fees Block in Cart","Position of Additional Fees Block in Cart"
"Product attribute combination","Product attribute combination"
"Radio Button","Radio Button"
Required,Required
"Required Fee","Required Fee"
"Save Fee","Save Fee"
"Shipping &amp; Handling","Shipping &amp; Handling"
"Shipping Country","Shipping Country"
"Shipping Fee","Shipping Fee"
"Shipping Fees","Shipping Fees"
"Shipping Methods","Shipping Methods"
"Shipping Postcode","Shipping Postcode"
"Shipping Region","Shipping Region"
"Shipping State/Province","Shipping State/Province"
"Size of Thumbnails","Size of Thumbnails"
"Static Block for Cart Page","Static Block for Cart Page"
"Store View Fee Customer Message Titles","Store View Fee Customer Message Titles"
"Store View Fee Date Field Titles","Store View Fee Date Field Titles"
"Store View Fee Descriptions","Store View Fee Descriptions"
"Store View Fee Names","Store View Fee Names"
Subtotal,Subtotal
Tax:,Tax:
"Tax Class","Tax Class"
"There are no options","There are no options"
Total,Total
Total:,Total:
"Total of %d record(s) were successfully deleted","Total of %d record(s) were successfully deleted"
"Total of %d record(s) were successfully updated","Total of %d record(s) were successfully updated"
"Unable to find Fee to save","Unable to find Fee to save"
"Update Fees of My Order","Update Fees of My Order"
"You need to select required additional fees to proceed to checkout.","You need to select required additional fees to proceed to checkout."
of,of